Fac,Count Pref 1,Count Pref 2,Count Pref 3,Count Pref 4,Count Pref 5,Count Pref 6,Count Pref 7,Count Pref 8,Count Pref 9,Count Pref 10,Count Pref 11,Count Pref 12,Count Pref 13,Count Pref 14,Count Pref 15,Count Pref 16,Count Pref 17,Count Pref 18
ABM,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AE,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AR,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CA,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JC,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RH,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
RM,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SK,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SKD,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SKM,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SM,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SS,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ST,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
